SIZE,row,col

10.0  , 0.3646969799726848, 8.98144287194226
24.484367468222267,   48.15956837833986, 49.0028815102206
59.94842503189409   ,213.02246061820875, 208.67951373061788
146.77992676220705  , 499.1939304346034, 485.000171013545
359.38136638046257  , 643.5395632036063, 646.8997696579899
879.9225435691075  , 641.0266612843606, 649.686400577545
2154.4346900318847  , 635.9947748405616, 643.6213078989942
5274.99706370262 , 652.8869354867431, 654.8653334263041
12915.496650148827 , 587.7077594041472, 583.2837364845974